pqn1, pqn2,l1,                 l2, E1, E2, delta E in R*Z m^-1,delta E in electron volts,delta E in Hz,is backwards?,degeneracy
52, 94,3,                 4, 3.699662E-04, 1.131734E-04, 2.567928E-04,3.493844E-03,8.448078E+11,0,63
42, 57,0,                 1, 5.726052E-04, 3.158090E-04, 2.567961E-04,3.493889E-03,8.448187E+11,0,3
53, 99,0,                 4, 3.588366E-04, 1.020304E-04, 2.568061E-04,3.494025E-03,8.448516E+11,0,9
24, 26,4,                 4, 1.736111E-03, 1.479290E-03, 2.568212E-04,3.494230E-03,8.449011E+11,0,32171
46, 68,3,                 2, 4.727974E-04, 2.159453E-04, 2.568521E-04,3.494651E-03,8.450028E+11,0,35
49, 79,0,                 1, 4.200862E-04, 1.632277E-04, 2.568585E-04,3.494737E-03,8.450238E+11,0,3
46, 66,1,                 0, 4.879240E-04, 2.310363E-04, 2.568877E-04,3.495135E-03,8.451198E+11,0,3
52, 94,3,                 2, 3.699662E-04, 1.130531E-04, 2.569131E-04,3.495481E-03,8.452035E+11,0,35
53, 96,1,                 0, 3.659921E-04, 1.089832E-04, 2.570089E-04,3.496784E-03,8.455187E+11,0,3
46, 69,2,                 1, 4.715641E-04, 2.145470E-04, 2.570171E-04,3.496896E-03,8.455457E+11,0,15
44, 62,3,                 2, 5.167661E-04, 2.597266E-04, 2.570395E-04,3.497201E-03,8.456195E+11,0,35
45, 65,4,                 3, 4.938272E-04, 2.367600E-04, 2.570672E-04,3.497577E-03,8.457105E+11,0,63
52, 90,1,                 2, 3.804080E-04, 1.233197E-04, 2.570883E-04,3.497864E-03,8.457798E+11,0,15
42, 55,1,                 2, 5.870858E-04, 3.299783E-04, 2.571075E-04,3.498126E-03,8.458432E+11,0,15
45, 65,4,                 4, 4.938272E-04, 2.366864E-04, 2.571408E-04,3.498578E-03,8.459525E+11,0,198491
52, 93,0,                 4, 3.728277E-04, 1.156203E-04, 2.572074E-04,3.499485E-03,8.461717E+11,0,9
39, 50,4,                 3, 6.574622E-04, 4.001616E-04, 2.573005E-04,3.500752E-03,8.464781E+11,0,63
47, 69,1,                 2, 4.670622E-04, 2.097358E-04, 2.573264E-04,3.501103E-03,8.465631E+11,0,15
45, 65,3,                 4, 4.940489E-04, 2.366864E-04, 2.573625E-04,3.501595E-03,8.466820E+11,0,63
53, 100,0,                 1, 3.588366E-04, 1.014733E-04, 2.573633E-04,3.501606E-03,8.466845E+11,0,3
51, 89,2,                 3, 3.837148E-04, 1.262753E-04, 2.574394E-04,3.502642E-03,8.469350E+11,0,35
50, 84,2,                 3, 3.992012E-04, 1.417574E-04, 2.574438E-04,3.502701E-03,8.469493E+11,0,35
51, 85,1,                 2, 3.956927E-04, 1.382456E-04, 2.574471E-04,3.502746E-03,8.469602E+11,0,15
40, 53,2,                 1, 6.234404E-04, 3.659921E-04, 2.574483E-04,3.502762E-03,8.469642E+11,0,15
39, 50,4,                 4, 6.574622E-04, 4.000000E-04, 2.574622E-04,3.502951E-03,8.470099E+11,0,130811
44, 63,2,                 1, 5.153570E-04, 2.578830E-04, 2.574740E-04,3.503112E-03,8.470487E+11,0,15
53, 96,1,                 2, 3.659921E-04, 1.083940E-04, 2.575981E-04,3.504801E-03,8.474571E+11,0,15
42, 57,2,                 3, 5.655461E-04, 3.078961E-04, 2.576500E-04,3.505506E-03,8.476277E+11,0,35
36, 43,1,                 0, 8.038122E-04, 5.461544E-04, 2.576578E-04,3.505613E-03,8.476535E+11,0,3
37, 46,4,                 3, 7.304602E-04, 4.727974E-04, 2.576628E-04,3.505681E-03,8.476699E+11,0,63
33, 39,2,                 3, 9.154973E-04, 6.578029E-04, 2.576944E-04,3.506111E-03,8.477740E+11,0,35
45, 65,3,                 2, 4.940489E-04, 2.363227E-04, 2.577262E-04,3.506544E-03,8.478786E+11,0,35
41, 53,1,                 0, 6.166043E-04, 3.588366E-04, 2.577677E-04,3.507109E-03,8.480151E+11,0,3
39, 50,3,                 4, 6.578029E-04, 4.000000E-04, 2.578029E-04,3.507586E-03,8.481307E+11,0,63
37, 46,4,                 4, 7.304602E-04, 4.725898E-04, 2.578704E-04,3.508505E-03,8.483529E+11,0,112251
